Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
Anti-Infective Agents,878765,13870115,32023158.68,23635023.880000003,8388134.8,2022,Generic,36.44109480919244,2.3087882602271144,9.545367419048324,26.895727390144124,0.6047631760803713,1.704025084146743
Antihistamines & Comb.,24891,1093839,492910.17,279611.35000000003,213298.82,2022,Generic,19.80274677594311,0.45062405893371876,8.56931501345868,11.233431762484434,0.19500019655543457,0.2556238623782842
Antineoplastic Agents,50368,2608120,16164118.56,15931034.02,233084.54,2022,Generic,320.92039707750956,6.1976130546140515,4.6276314326556545,316.2927656448539,0.08936879438062666,6.108244260233425
Autonomic Drugs,444765,11153134,18769723.66,12089219.8,6680503.859999999,2022,Generic,42.201440446078266,1.6829102618151992,15.020300293413374,27.18114015266489,0.5989799692176208,1.0839302925975784
Blood Form/Coagul Agents,40136,2216337,2490840.73,1785245.1500000001,705595.5800000001,2022,Generic,62.06001420171417,1.1238546890657874,17.5801171018537,44.47989709986048,0.3183611427323553,0.8054935463334322
Cardiovascular Agents,1829735,119804072,32599390.41,14729082.790000001,17870307.62,2022,Generic,17.816454519370293,0.2721058630628181,9.766609711242339,8.049844808127954,0.14916277319856042,0.12294308986425771
Central Nervous System,3166603,127565888,75341889.89999999,38233940.85,37107949.050000004,2022,Generic,23.79265411546695,0.5906115739969606,11.718535304236118,12.074118811230838,0.29089241357376044,0.2997191604232003
Dental Agents,23269,1215068,220552.05000000002,95363.24000000002,125188.81,2022,Generic,9.478363917658688,0.1815141621703477,5.380068331256178,4.098295586402511,0.10303029130879918,0.07848387086154851
"Electrolytic, Caloric, Water",280730,18029974,5192208.079999999,2188122.36,3004085.72,2022,Generic,18.495380187368642,0.2879764596443677,10.700978591529228,7.794401595839418,0.16661619811542713,0.12136026152894064
"Eye, Ear, Nose Throat",215383,7000032,10544947.35,6670505.41,3874441.94,2022,Generic,48.959051317884885,1.5064141635352524,17.988615350329415,30.97043596755547,0.553489175478055,0.9529249880571975
Gastrointestinal Drugs,310830,14272853,17184914.810000002,13245929.56,3938985.25,2022,Generic,55.287182093105564,1.2040280110780937,12.67247450374803,42.61470758935753,0.27597742721795004,0.9280505838601435
Heavy Metal Antagonists,115,4177,566300.36,551807.98,14492.38,2022,Generic,4924.350956521739,135.5758582714867,126.02069565217391,4798.330260869565,3.4695666746468756,132.10629159683984
Hormones & Synthetic Subst,1118597,64471341,43337054.87,31709371.09,11627683.78,2022,Generic,38.74233067851961,0.6721909952206515,10.394881963745656,28.347448714773954,0.18035430316239273,0.49183669205825886
Immunosuppressants,18884,989342,4139567.11,3410226.0,729341.11,2022,Generic,219.21028966320694,4.184161907611322,38.62217273882652,180.58811692438042,0.737198168075347,3.4469637395359745
Misc Therapeutic Agents,148926,8887772,19355352.25,16980431.14,2374921.11,2022,Generic,129.96623994467052,2.177750762508309,15.946987832883444,114.01925211178707,0.26721220008794105,1.9105385624203681
Missing,13,990,37.54,25.09,12.45,2022,Generic,2.8876923076923076,0.037919191919191915,0.9576923076923076,1.93,0.012575757575757575,0.025343434343434345
Oxytocics,93,297,14214.569999999998,11590.430000000002,2624.14,2022,Generic,152.8448387096774,47.86050505050504,28.216559139784945,124.6282795698925,8.835488215488216,39.02501683501684
Pharmaceutical Aids/Adjuvants,14971,129165,333018.32,295020.46,37997.86,2022,Generic,22.24422683855454,2.578239615995045,2.5380976554672365,19.706129183087302,0.2941807765261487,2.2840588394688965
Respiratory Tract Agents,118238,4151487,2180073.1799999997,1211865.24,968207.9400000001,2022,Generic,18.43800791623674,0.5251306772729867,8.18863597151508,10.249371944721663,0.23321955241579706,0.29191112485718973
Skin & Mucous Membrane,470909,11809563,21720006.19,12892144.9,8827861.29,2022,Generic,46.12357417250467,1.8391879691060542,18.74642720780448,27.377146964700188,0.7475180317849186,1.0916699373211354
Smooth Muscle Relaxants,18764,1048856,1217551.5,681838.1699999999,535713.33,2022,Generic,64.88763056917502,1.1608376173659682,28.550060221701127,36.337570347473886,0.5107596562349836,0.6500779611309846
Unknown,47279,2468108,2968927.5600000005,2697506.7600000002,271420.8,2022,Generic,62.79590431269698,1.2029163877755757,5.740832081896825,57.05507223080015,0.10997120061196673,1.0929451871636089
Vitamins & Comb,87071,5056636,4104563.2600000002,3223343.61,881219.65,2022,Generic,47.14041713084724,0.8117181580797985,10.120702070723892,37.019715060123346,0.17426993954083309,0.6374482185389654
