Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
2018,3 DAY VAGINAL CREAM,Generic,Skin & Mucous Membrane,"Antiinf S/MM,Antifungal & Comb",19,164,177.8,39.45,138.35000000000002,9.357894736842105,1.0841463414634147,7.2815789473684225,2.0763157894736843,0.8435975609756099,0.2405487804878049
2018,ABACAVIR,Generic,Anti-Infective Agents,"Antivirals, NEC",149,5595,54451.11,51191.11,3260.0,365.4436912751678,9.732101876675603,21.879194630872483,343.56449664429533,0.58266309204647,9.149438784629133
2018,ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,"Antivirals, NEC",253,9751,216803.25999999998,209589.02,7214.24,856.9298814229248,22.233951389601064,28.51478260869565,828.4150988142292,0.7398461696236284,21.49410521997744
2018,"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE",Generic,Anti-Infective Agents,"Antivirals, NEC",30,1200,47012.92,46639.42,373.5,1567.0973333333334,39.17743333333333,12.45,1554.6473333333333,0.31125,38.86618333333333
2018,ABELCET,Brand,Anti-Infective Agents,"Antibiot, Antifungals",16,401,27482.21,26972.21,510.0,1717.638125,68.53418952618453,31.875,1685.763125,1.2718204488778055,67.26236907730673
2018,ABILIFY,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",430,14410,434858.52999999997,389251.61,45606.92,1011.2989069767441,30.177552394170714,106.06260465116279,905.2363023255814,3.1649493407356,27.012603053435114
2018,ABILIFY MAINTENA DUAL-CHAMBERED SYRINGE,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",100,2937,163047.97,155795.22999999998,7252.74,1630.4797,55.51514130064692,72.5274,1557.9523,2.469438202247191,53.04570309839972
2018,ABILIFY MAINTENA VIAL,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",63,1720,103659.92,100571.51999999999,3088.4,1645.3955555555556,60.267395348837205,49.022222222222226,1596.3733333333332,1.7955813953488373,58.471813953488365
2018,ABIRATERONE ACETATE,Generic,Antineoplastic Agents,Hormone-Modifying Therapy,39,1170,292524.62,292459.62,65.0,7500.631282051282,250.02104273504273,1.6666666666666667,7498.964615384615,0.05555555555555555,249.96548717948718
2018,ABSORICA,Brand,Vitamins & Comb,"Vitamin A & Derivatives, NEC",113,3375,189193.31,178534.08,10659.23,1674.2770796460177,56.05727703703704,94.32946902654867,1579.9476106194688,3.1582903703703704,52.898986666666666
2018,ACAMPROSATE CALCIUM,Generic,Misc Therapeutic Agents,"Misc Therapeutic Agents, NEC",1657,51707,248250.86999999997,208153.21999999997,40097.65,149.81947495473744,4.801107586980486,24.198943874471937,125.62053108026552,0.7754781751020171,4.025629411878469
2018,ACANYA,Brand,Skin & Mucous Membrane,"Antiinf S/MM,Antibiotic & Comb",11,330,4224.74,3829.74,395.0,384.0672727272727,12.802242424242424,35.90909090909091,348.1581818181818,1.196969696969697,11.605272727272727
2018,ACARBOSE,Generic,Hormones & Synthetic Subst,"Antidiabetic Agents, Misc",671,28490,26707.55,16064.21,10643.34,39.802608047690015,0.9374359424359424,15.861907600596126,23.94070044709389,0.3735816075816076,0.5638543348543348
2018,ACCU-CHEK AVIVA PLUS TEST STRIPS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,252,10063,84255.33,70603.97000000002,13651.359999999999,334.3465476190476,8.372784457915134,54.17206349206349,280.17448412698417,1.3565894862367087,7.016194971678427
2018,ACCU-CHEK COMPACT PLUS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,67,2724,23366.809999999998,19516.63,3850.1800000000007,348.7583582089552,8.57812408223201,57.46537313432837,291.29298507462687,1.413428781204112,7.1646953010279
2018,ACCU-CHEK FASTCLIX,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,566,23979,15364.11,5971.83,9392.279999999999,27.145070671378093,0.6407318904041036,16.594134275618373,10.550936395759717,0.39168772676091573,0.2490441636431878
2018,ACCU-CHEK FASTCLIX,Other,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,20,677,567.15,152.75,414.40000000000003,28.357499999999998,0.8377400295420975,20.720000000000002,7.6375,0.6121122599704579,0.22562776957163957
2018,ACCU-CHEK GUIDE TEST STRIPS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,28,898,1477.81,1038.47,439.34,52.77892857142857,1.6456681514476614,15.690714285714284,37.08821428571429,0.4892427616926503,1.1564253897550112
2018,ACCU-CHEK MULTICLIX LANCETS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,76,4261,2219.4,969.0200000000001,1250.3799999999999,29.20263157894737,0.5208636470312134,16.45236842105263,12.750263157894738,0.2934475475240554,0.22741609950715796
2018,ACCU-CHEK SAFE-T-PRO PLUS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,11,390,385.65,132.59,253.06,35.059090909090905,0.9888461538461538,23.005454545454544,12.053636363636365,0.6488717948717949,0.33997435897435896
2018,ACCU-CHEK SMARTVIEW TEST STRIPS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,50,2340,17047.750000000004,13862.739999999998,3185.01,340.9550000000001,7.285363247863249,63.7002,277.25479999999993,1.3611153846153847,5.924247863247863
2018,ACCU-CHEK SOFTCLIX,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,168,10502,2531.8400000000006,900.74,1631.0999999999997,15.070476190476194,0.2410816987240526,9.708928571428569,5.361547619047619,0.15531327366215955,0.08576842506189297
2018,ACCUPRIL,Brand,Cardiovascular Agents,"Cardiac, ACE Inhibitors",16,570,2075.25,917.61,1157.64,129.703125,3.6407894736842104,72.3525,57.350625,2.0309473684210526,1.609842105263158
2018,ACEBUTOLOL HCL,Generic,Cardiovascular Agents,"Cardiac, Beta Blockers",436,24255,12111.800000000001,3396.24,8715.56,27.77935779816514,0.49935271078128224,19.98981651376147,7.789541284403669,0.35933044733044733,0.14002226345083488
2018,ACETAMINOPHEN,Generic,Central Nervous System,"Analgesics/Antipyretics, NEC",378,5044,855.45,365.36,490.09,2.263095238095238,0.16959754163362412,1.2965343915343914,0.9665608465608466,0.09716296590007929,0.07243457573354481
2018,ACETAMINOPHEN-CODEINE PHOSPHATE,Generic,Central Nervous System,"Analg/Antipyr, Opiate Agonists",20835,157535,116397.39,23732.729999999996,92664.66,5.586627789776818,0.7388668549846066,4.4475478761699065,1.1390799136069112,0.588216332878408,0.1506505221061986
2018,ACETAMINOPHEN/DICHLORALPHENAZONE/ISOMETHEPTENE,Generic,Autonomic Drugs,"Sympathomimetic Agents, NEC",65,922,7678.69,5896.2,1782.49,118.1336923076923,8.328297180043384,27.422923076923077,90.71076923076923,1.933286334056399,6.3950108459869845
2018,ACETAZOLAMIDE,Brand,Pharmaceutical Aids/Adjuvants,"Pharmaceutical Aids/Adjuv, NEC",12,360,1974.6999999999998,1429.6999999999998,545.0,164.5583333333333,5.485277777777777,45.416666666666664,119.14166666666665,1.5138888888888888,3.9713888888888884
2018,ACETAZOLAMIDE,Generic,"Electrolytic, Caloric, Water","Diuretic, Carb Anhydrase Inhib",4589,115855,442619.70999999996,342115.76,100503.95000000001,96.45232294617563,3.8204627335894004,21.9010568751362,74.55126607103945,0.8674977342367616,2.952964999352639
2018,ACETIC ACID,Generic,"Eye, Ear, Nose Throat","Antiinfectives, Misc EENT",348,6037,8662.15,2876.17,5785.98,24.891235632183907,1.434843465297333,16.626379310344827,8.26485632183908,0.9584197449064104,0.4764237203909227
2018,ACETIC ACID/HC,Generic,"Eye, Ear, Nose Throat","Antiinflam Agents EENT, NEC",300,4985,26790.17,20415.77,6374.400000000001,89.30056666666665,5.3741564694082244,21.248,68.05256666666666,1.2787161484453362,4.095440320962889
2018,ACETYLCYSTEINE,Brand,Pharmaceutical Aids/Adjuvants,"Pharmaceutical Aids/Adjuv, NEC",68,2040,5365.139999999999,1556.77,3808.3699999999994,78.89911764705882,2.629970588235294,56.00544117647058,22.893676470588236,1.866848039215686,0.7631225490196079
2018,ACETYLCYSTEINE,Generic,Respiratory Tract Agents,"Mucolytics/Cold Comb, NEC",85,1876,9010.019999999999,7785.73,1224.29,106.00023529411763,4.8027825159914705,14.403411764705883,91.59682352941176,0.6526066098081024,4.150175906183368
2018,ACIPHEX,Brand,Gastrointestinal Drugs,"Gastrointestinal Drug Misc,NEC",127,5140,100917.83,90101.54,10816.29,794.6285826771654,19.63381906614786,85.1676377952756,709.4609448818898,2.1043365758754864,17.529482490272372
2018,ACIPHEX SPRINKLE,Brand,Gastrointestinal Drugs,"Gastrointestinal Drug Misc,NEC",13,450,21995.18,21320.18,675.0,1691.936923076923,48.87817777777778,51.92307692307692,1640.013846153846,1.5,47.37817777777778
2018,ACITRETIN,Generic,Vitamins & Comb,"Vitamin A & Derivatives, NEC",836,25518,517994.03,497101.31000000006,20892.72,619.6100837320574,20.299162551924134,24.99129186602871,594.6187918660288,0.8187444157065601,19.480418136217573
2018,ACNE MEDICATION 5,Generic,Skin & Mucous Membrane,"Antiinf S/MM, Antiinf Loc Misc",29,757,102.85,12.23,90.62,3.546551724137931,0.13586525759577278,3.1248275862068966,0.42172413793103447,0.1197093791281374,0.016155878467635405
2018,ACTEMRA,Brand,Immunosuppressants,"Immunosuppressants, NEC",1050,30071,3252954.9699999997,3168384.67,84570.30000000002,3098.052352380952,108.1758162349107,80.54314285714287,3017.5092095238097,2.8123540953077724,105.36346213960293
2018,ACTHAR,Brand,Hormones & Synthetic Subst,"Pituitary Hormones, NEC",29,461,1472951.16,1470173.26,2777.9,50791.41931034483,3195.121822125813,95.7896551724138,50695.629655172415,6.025813449023861,3189.0960086767896
2018,ACTIGALL,Brand,Gastrointestinal Drugs,"Cholelitholytic Agents, NEC",22,660,22037.29,20662.29,1375.0,1001.695,33.389833333333335,62.5,939.195,2.0833333333333335,31.3065
2018,ACTIQ,Brand,Central Nervous System,"Analg/Antipyr, Opiate Agonists",14,405,179213.37,178373.37,840.0,12800.955,442.50214814814814,60.0,12740.955,2.074074074074074,440.42807407407406
2018,ACTIVELLA,Brand,Hormones & Synthetic Subst,"Estrogens & Comb, NEC",13,532,4006.61,2846.61,1160.0,308.20076923076925,7.531221804511278,89.23076923076923,218.97,2.180451127819549,5.350770676691729
2018,ACTONEL,Brand,Misc Therapeutic Agents,Bone Resorption Inhibitors,49,1846,15736.900000000001,6792.95,8943.949999999999,321.1612244897959,8.52486457204767,182.52959183673468,138.63163265306122,4.8450433369447445,3.679821235102925
2018,ACTOS,Brand,Hormones & Synthetic Subst,"Antidiabetic Ag, TZD",47,1643,26531.829999999998,24355.570000000003,2176.26,564.5070212765957,16.148405356055996,46.30340425531915,518.2036170212766,1.3245648204503957,14.823840535605601
2018,ACYCLOVIR,Generic,Anti-Infective Agents,"Antivirals, NEC",32212,791508,362269.65,104666.43,257603.22000000003,11.246419036383957,0.4576955002349945,7.997119706941514,3.2492993294424437,0.3254587698418715,0.132236730393123
2018,ACYCLOVIR,Generic,Skin & Mucous Membrane,"Antiinf S/MM,Antivirals & Comb",2141,38691,477046.4999999998,419248.41,57798.09,222.8148061653432,12.329650306272772,26.99583839327417,195.8189677720691,1.493838101884159,10.835812204388617
2018,ACZONE,Brand,Anti-Infective Agents,"Sulfones, NEC",1313,40860,759422.2000000001,616562.84,142859.36000000002,578.387052551409,18.585956926089086,108.8037776085301,469.58327494287886,3.4963132648066573,15.089643661282427
2018,ADACEL,Brand,"Serums, Toxoids, Vaccines","Serums/Toxoids/Vaccines, NEC",710,1506,34756.69,34756.69,0.0,48.953084507042256,23.07881142098274,0.0,48.953084507042256,0.0,23.07881142098274
2018,ADAPALENE,Generic,Skin & Mucous Membrane,"Cell Stim/Proliferant S/MM,NEC",8568,245546,1300925.2500000002,960763.01,340162.24,151.8353466386555,5.298091803572448,39.70147525676937,112.1338713818861,1.3853299992669397,3.912761804305507
2018,ADAPALENE-BENZOYL PEROXIDE,Generic,Skin & Mucous Membrane,"Antiinf S/MM, Antiinf Loc Misc",828,24196,129252.36,99294.99000000002,29957.370000000003,156.101884057971,5.341889568523723,36.18039855072464,119.9214855072464,1.238112497933543,4.103777070590181
