Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
"Anesthetics, Local",62,1248,615.04,267.77,347.27,2018,Generic,9.92,0.4928205128205128,5.601129032258064,4.318870967741935,0.27826121794871794,0.21455929487179487
Anti-Infective Agents,1306257,17734838,33801582.74,21531853.14,12269729.6,2018,Generic,25.876671083867876,1.905942571338966,9.393044094691932,16.483626989175942,0.6918433424652652,1.2140992288737005
Antihistamines & Comb.,36951,1168313,431259.74,211343.83,219915.90999999997,2018,Generic,11.671125003382858,0.3691303101138137,5.951555032340125,5.719569971042732,0.18823372674959535,0.18089658336421832
Antineoplastic Agents,77348,3041003,12781110.78,12424198.75,356912.03,2018,Generic,165.24164529141024,4.202926067484971,4.614366628742825,160.62727866266744,0.11736654978636983,4.085559517698601
Autonomic Drugs,343387,7668649,11757566.219999999,8428818.67,3328747.55,2018,Generic,34.23998642930571,1.5331991619384326,9.693865958816145,24.546120470489566,0.434072227063724,1.0991269348747086
Blood Form/Coagul Agents,84136,3578440,6007259.859999999,5047143.25,960116.6100000001,2018,Generic,71.39939930588571,1.678737064195571,11.411483907007703,59.98791539887801,0.26830591263232023,1.410431151563251
Cardiovascular Agents,2727796,131298016,43676967.22,23297532.87,20379434.349999998,2018,Generic,16.011815846932834,0.3326551957951901,7.471025820845839,8.540790026086995,0.15521509746194487,0.1774400983332452
Central Nervous System,4203944,135459047,108370793.78,68050078.29,40320715.49,2018,Generic,25.778362837373667,0.8000262528053959,9.591163795236094,16.187199042137575,0.29765981957631815,0.5023664332290778
Dental Agents,32273,1558297,146058.68000000002,68586.11000000002,77472.57,2018,Generic,4.525723669940818,0.09372968054228431,2.400538220803768,2.12518544913705,0.04971617733974974,0.044013503202534575
"Electrolytic, Caloric, Water",444278,20559807,6854535.23,3559145.81,3295389.42,2018,Generic,15.42848223409667,0.3333949209737232,7.417404012802795,8.011078221293875,0.16028309117882283,0.1731118297949003
"Eye, Ear, Nose Throat",295748,7841095,8996790.42,5100542.46,3896247.96,2018,Generic,30.420460730081015,1.1473895444450042,13.174215751247683,17.24624497883333,0.4969010017095826,0.6504885427354216
Gastrointestinal Drugs,589101,21830071,18885120.650000002,14318212.06,4566908.590000001,2018,Generic,32.057526043921165,0.8650966206202445,7.752335490858106,24.305190553063056,0.20920264482877773,0.6558939757914668
Heavy Metal Antagonists,12,345,238473.61,237873.61,600.0,2018,Generic,19872.80083333333,691.2278550724637,50.0,19822.80083333333,1.7391304347826086,689.4887246376811
Hormones & Synthetic Subst,1926315,80276960,50787561.18,37824043.6,12963517.58,2018,Generic,26.365138193909097,0.6326542656822082,6.729697676652053,19.63544051725704,0.1614849089950591,0.4711693566871491
