Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,average_cost_per_day_total,average_cost_per_day_payer,average_cost_per_day_oop
2018.0,3 DAY VAGINAL CREAM,Generic,Skin & Mucous Membrane,"Antiinf S/MM,Antifungal & Comb",19.0,164.0,177.8,39.45,138.35,1.0841463414634147,0.2405487804878049,0.8435975609756097
2018.0,ABACAVIR,Generic,Anti-Infective Agents,"Antivirals, NEC",149.0,5595.0,54451.11,51191.11,3260.0,9.732101876675603,9.149438784629133,0.58266309204647
2018.0,ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,"Antivirals, NEC",253.0,9751.0,216803.26,209589.02,7214.24,22.233951389601067,21.49410521997744,0.7398461696236284
2018.0,"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE",Generic,Anti-Infective Agents,"Antivirals, NEC",30.0,1200.0,47012.92,46639.42,373.5,39.17743333333333,38.86618333333333,0.31125
2018.0,ABELCET,Brand,Anti-Infective Agents,"Antibiot, Antifungals",16.0,401.0,27482.21,26972.21,510.0,68.53418952618453,67.26236907730673,1.2718204488778055
2018.0,ABILIFY,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",430.0,14410.0,434858.53,389251.61,45606.92,30.177552394170718,27.012603053435114,3.1649493407356
2018.0,ABILIFY MAINTENA DUAL-CHAMBERED SYRINGE,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",100.0,2937.0,163047.97,155795.23,7252.74,55.51514130064692,53.045703098399734,2.469438202247191
2018.0,ABILIFY MAINTENA VIAL,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",63.0,1720.0,103659.92,100571.52,3088.4,60.267395348837205,58.47181395348837,1.7955813953488373
2018.0,ABIRATERONE ACETATE,Generic,Antineoplastic Agents,Hormone-Modifying Therapy,39.0,1170.0,292524.62,292459.62,65.0,250.02104273504273,249.96548717948718,0.05555555555555555
2018.0,ABSORICA,Brand,Vitamins & Comb,"Vitamin A & Derivatives, NEC",113.0,3375.0,189193.31,178534.08,10659.23,56.05727703703704,52.898986666666666,3.1582903703703704
2018.0,ACAMPROSATE CALCIUM,Generic,NaN,"Misc Therapeutic Agents, NEC",1657.0,51707.0,248250.87,208153.22,40097.65,4.8011075869804865,4.0256294118784695,0.7754781751020171
2018.0,ACANYA,Brand,Skin & Mucous Membrane,"Antiinf S/MM,Antibiotic & Comb",11.0,330.0,4224.74,3829.74,395.0,12.802242424242424,11.605272727272727,1.196969696969697
2018.0,ACARBOSE,Generic,Hormones & Synthetic Subst,"Antidiabetic Agents, Misc",671.0,28490.0,26707.55,16064.21,10643.34,0.9374359424359424,0.5638543348543348,0.3735816075816076
2018.0,ACCU-CHEK AVIVA PLUS TEST STRIPS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,252.0,10063.0,84255.33,70603.97,13651.36,8.372784457915134,7.016194971678426,1.3565894862367087
2018.0,ACCU-CHEK COMPACT PLUS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,67.0,2724.0,23366.81,19516.63,3850.18,8.578124082232012,7.1646953010279,1.4134287812041115
2018.0,ACCU-CHEK FASTCLIX,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,566.0,23979.0,15364.11,5971.83,9392.28,0.6407318904041036,0.2490441636431878,0.39168772676091584
2018.0,ACCU-CHEK FASTCLIX,NaN,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,20.0,677.0,567.15,152.75,414.4,0.8377400295420975,0.22562776957163957,0.6121122599704578
2018.0,ACCU-CHEK GUIDE TEST STRIPS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,28.0,898.0,1477.81,1038.47,439.34,1.6456681514476614,1.1564253897550112,0.4892427616926503
2018.0,ACCU-CHEK MULTICLIX LANCETS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,76.0,4261.0,2219.4,969.02,1250.38,0.5208636470312134,0.22741609950715794,0.2934475475240554
2018.0,ACCU-CHEK SAFE-T-PRO PLUS,Brand,Diagnostic Agents,Diabetes Mell/Diab Supply NEC,11.0,390.0,385.65,132.59,253.06,0.9888461538461538,0.33997435897435896,0.6488717948717949
